Ausrüstung 1;Ausrüstung 2;Ausrüstung 3;Ausrüstung 4;Waffe;Rüstung;Waffe (mit Schriftrolle);Rüstung (mit Schriftrolle);Unreine Schriftrollen;Heilige Schriftrollen;Name;Schreckliche Eigenschaften;Kaputte Körper;Schlechte Angewohnheiten;Beunruhigende Geschichten
Alter Kopfkissenbezug – 4 Gegenstände;zufällige heilige Schriftrolle;zufällige unreine Schriftrolle;lange Schlinge;Falchion W6 Schaden;Fein geschmiedete Glieder aus Stahl (-W4 Schaden, Stufe 1);Eisenstange W4 Schaden;Lederweste mit dekorativen, aber hohlen Nieten (-W1 Schaden, Stufe 0);Gerochen, ausgeteilt;Gebet ohne Worte;Niduk;Verdächtig;Beleibt, gefräßig, sabbernd.;Unsicherer Stänkerer. Du redest über den, der gerade den Raum verlassen hat.;Du wurdest durch Gewalt in die Wildnis gezwungen. Winkende Bäume flüstern. Sprich mit Bäumen, schrei sie an, greif sie an.
Lederbeutel – 5 Gegenstände;zufällige heilige Schriftrolle;zufällige unreine Schriftrolle;kleine Holztruhe (leer);Entermesser W6 Schaden;Gebänderte Rüstung in einer bestickten Lederbrigandine (-W6 Schaden, Stufe 1);Kandare W4 Schaden;Schuppen aus getrocknetem Brot (+W2 Schaden, Stufe -1);Gezellig;Geflüster durch das Tor ;Daeru;Rücksichtslos;Einer Hand fehlen Daumen und Zeigefinger, du greifst wie ein Hummer.;Du stotterst beim Lügen.;Verflucht, die Albträume anderer zu teilen, du schläfst weit, weit weg.
Umhängetasche – 6 Gegenstände;zufällige unreine Schriftrolle;zufällige heilige Schriftrolle;{W8} bunte Glasmurmeln;Rapier W6 Schaden;Gekochtes Dinosaurierleder (-W4 Schaden, Stufe 1);Abgebrochener Kelch W4 Schaden;Dünne Glas-Überrobe mit Rissen (+W2 Schaden, Stufe -1);Glänzen;Gnade des Sünders ;Nifehl;Besorgt;Rote, geschwollene Nase des Alkoholikers.;Du kicherst zu den denkbar ungünstigsten Zeitpunkten wahnsinnig.;Du bist ständig im Krieg mit allen Rabenvögeln. Kein Kontakt ohne etwas Gewalt.
Rucksack – 7 Gegenstände;zufällige unreine Schriftrolle;zufällige heilige Schriftrolle;Schneeschuh (Heimat einer Spinne);Krummsäbel W6 Schaden;Gelenkige Rüstung aus Messinguhrwerken (-W8 Schaden, Stufe 1);Lauch W2 Schaden;Kettenhemd aus Draht und Büroklammern (-W1 Schaden, Stufe 0);Glühwürmchen;Gnade des toten Heiligen ;Eldar;Verbittert;Ruhiges, verrücktes Gesicht.;Pfeife, während du versuchst, dich zu verstecken. Leugne es.;Du trägst eine Schleuder.
Seesack – 8 Gegenstände;zufällige unreine Schriftrolle;zufällige heilige Schriftrolle;Ölgemälde eines vermummten Skeletts;Machete W6 Schaden;Geschnitzte Holzrüstungen (-W4 Schaden, Stufe 1);Toter Fisch W2 Schaden;Rüstung aus geschnürten Tierblasen (+W1 Schaden, Stufe -1);Grausamkeit;Greifende Schatten;Prügl;Betrügerisch;Chronischer Fußpilz. Stinkt.;Du zupfst an deinem entzündeten Zahnfleisch, besonders beim Sprechen.;Du verstehtst den Gesang der Insekten und Würmer.
Sack – 10 Gegenstände;zufällige heilige Schriftrolle;Das Tagebuch eines Gefangenen. Enthält eine ziemlich detaillierte Skizze der Umgebung.;Fächer in Form einer Bärenklaue;Kurzschwert W6 Schaden;Gewänder aus Büffelhaut (-W2 Schaden, Stufe 1);Käsereibe W2 Schaden;Messingdraht-Korsett (-W1 Schaden, Stufe 0);Großer Vogel;Hauch der Dämmerung;Felban;Wachsam;Dein kürzlich aufgeschlitztes und stinkendes Auge ist mit einer Augenklappe abgedeckt.;Du kannst nicht anders, als auf fast jede Frage mit einer weiteren Frage zu antworten.;Du wirst von einem Golem verfolgt und beobachtet.
Fass (tragbar, schwer) – 10 Gegenstände;zufällige heilige Schriftrolle;Ein altes Buch über die Pflege und Wartung eines Verlieses. Enthält auf der Rückseite eine handgezeichnete Karte.;exquisiter Seidenhandschuh;Kleinschwert W6 Schaden;Gläserne, geformte Platten (-W8 Schaden, Stufe 1);Suppenkelle W2 Schaden;Patchwork-Rüstung aus gesammelten Schilden (-W2 Schaden, Stufe 0);Gummientchen;Hermetischer Schritt ;Qillnach;Arrogant;Deine Nägel sind rissig und schwarz, vielleicht fallen sie bald ab.;Für dich ist alles eine Verschwörung.;Verbrennen oder verbrannt werden ist dein akzeptiertes Schicksal.
Truhe auf Rädern – 15 Gegenstände;zufällige heilige Schriftrolle;Ein Aufziehspielzeug eines Axtmörders. Macht ein leichtes surrendes und klirrendes Geräusch, wenn die Axt schwingt.;getrocknetes Fledermausfleisch;Säbel W6 Schaden;Gummianzug (-W2 Schaden, Stufe 1);Sehr schweres Buch W4 Schaden;Leuchtender Stoffoverall, zieht Angriffe an (+W1 Schaden, Stufe -1);Hackblock;Hunger des Leeren;Gotven;Abrasiv;Juckende Muttermale bedecken deinen Körper.;Du wechselst deine Kleidung nur, wenn sie abgenutzt ist.;Dein Fleisch heilt doppelt so schnell, aber das deiner Gefährten doppelt so langsam.
Kleiner Wagen – 20 Gegenstände;zufällige unreine Schriftrolle;Ein Bowling-Pin mit einem sehr deutlichen Blutfleck darauf.;Nasenring aus Kupfer;Zweiklingenschwert W10 Schaden;Hai-Anzug (-W4 Schaden, Stufe 1);Lebende Gans W2 Schaden;Mit Stroh ausgepolsterte Gardinen-Robe (-W1 Schaden, Stufe 0);Harken;Kelch der Umkehr;Risten;Manierlos;Ein kurzes Bein, ersetzt durch einen Holzpflock.;Du kannst nicht einschlafen ohne eine Gute-Nacht-Geschichte, die du noch nie gehört hast.;"Du siehst einen vieläugigen ""Schutzengel""."
Sänfte (ohne Träger) – 20 Gegenstände;zufällige unreine Schriftrolle;Ein Buch mit schmutzigen Kerkerwitzen.;zwei Augen in einem Gefäß;Claymore W10 Schaden;Kupferschuppen-Rüstung (-W4 Schaden, Stufe 1);Kerzenständer W4 Schaden;Gefrorener Schlammbrustpanzer (schmilzt schnell) (-W0 Schaden, Stufe 0);Irgendetwas;Kette der Reue;Graft;Selbstsicher;Ein dürres Gestell und ein gekrümmter Hals.;Du hast furchtbare Angst vor der Dunkelheit.;Eine Grabjagd ging schief. Du siehst überall zornige Geister, sogar im Schlaf.
Schubkarre – 12 Gegenstände;zufällige unreine Schriftrolle;Ein dicker Ball aus Teer. Klebrig und breiig.;{W6} Würfel (Knochen);Bastardschwert W8 Schaden;Lackierte Platten aus Stahl (-W6 Schaden, Stufe 1);Harke W4 Schaden;Rüstung aus Dutzenden Löffeln und Gabeln (+W1 Schaden, Stufe -1);Jazz-Hände;Knochenbrecher;Svind;Fanatisch;Zitternde Gliedmaßen, die nicht stillhalten wollen.;Das Geräusch anderer Leute beim Kauen ist eine Qual für dich. Du isst allein.;Aufgespießt von einer verfluchten Klinge. Du versteckst die immer stärker werdenden, sickerenden, beißenden Auswirkungen.
Großer Wagen – 40 Gegenstände;Meherere flache Steine. Sehr, sehr uninteressant.;Ein Eimer mit Farbe, die unmöglich schwarz sein kann.;{W4} riesige Reißzähne;Sense W8 Schaden;Lebendiger Anzug aus zähem Fleisch (-W8 Schaden, Stufe 1);Bettstatt-Bein W4 Schaden;Goldene Zeremonienrüstung aus dünnem Blech (-W1 Schaden, Stufe 0);Kackwurst;Letztes Sakrament;Grin;Heuchlerisch;Langes Haar, vom Blut verfilzt.;Du drückst gerne die Pickel anderer Leute aus. Und davon gibt es viele.;Wacht eines Tages in einer Graven-Tosk-Grube auf. Neue Knochen wachsen in dir, ein zweites Skelett.
Esel – 15 Gegenstände;Ein einzelner Handschuh;Ein enthaupteter Kopf mit blutroten Blumen, die im Schädel wachsen.;Latrinen-Eimer;Spatha W8 Schaden;Mit Flaschendeckel vernietete Lederbekleidung (-W4 Schaden, Stufe 1);Kleines Kind W2 Schaden;;Klopf Klopf;Licht des Verblassenden;Theras;Exzentrisch;Eine fehlende Nase, eine große Narbe.;Du kannst Heuchler nicht ausstehen, und du findest sie überall.;Du bist kurz im Endlosen Meer ertrunken. Du erbrichst jeden Morgen fauliges Salzwasser.
Maultier – 20 Gegenstände;Leeres Tintenfass;Ein frischer, kalter Krug Bier. Verdächtig...;zerbrochene Harfe;Katana W8 Schaden;Mit Siegel geschmückte Lederriemen. (-W2 Schaden, Stufe 1);Sack voller Mäuse W2 Schaden;;Lächeln;Nabelschnur der Nacht;Grittr;Morbide;Keine Zähne, oder zumindest keine eigenen.;Du ziehst es vor, auf allen Vieren zu laufen. ;Du bist zu unnatürlich lebhaft. Du wirst von Rittern der Blutgräfin verfolgt.
Pferd mit Satteltaschen – 25 Gegenstände;Kaputte Sonnenuhr;Ein Glasauge. Der Besitzer will es wahrscheinlich zurückhaben.;gehörnter Helm;Schmetterlingsschwerter 2W6 Schaden;Mit Stacheln bedeckte Rüstung aus gebläutem Stahl (-W8 Schaden, Stufe 1);Weinschlauch W2 Schaden;;Laufen;Öffnung nach Unten;Therg;Einseitig;Schwimmhäute an Händen und Füßen.;Wenn dich jemand einen Feigling nennt, bist du zwanghaft verpflichtet, ihm das Gegenteil zu beweisen.;Du bist ein niederer Adliger mit einer schlecht konstruierten Tarnidentität, der oft von Räubern verfolgt wird.
Sehr überzeugter Träger (Fremder, unfreiwillig) – 30 Gegenstände;Hälfte eines Kamms;Ein gläserner Schädel, in dem ein leuchtender Fisch herumschwimmt.;mit Scheiße beschmutzte Schöpfkelle;Sichel W8 Schaden;Mit Strass besetzte, bestickte Cabaret-Kleidung (-W2 Schaden, Stufe 1);Riesiger Rettich W2 Schaden;;Machen;Pesthauch des Alten;Haerü;Rätselhaft;Verkrustete Augenhöhlen, rot befleckt.;Du trinkst gerne aus Schuhen. Wegen des Geschmacks.;Du bist ein Spion für König Fathmu XI. Scheitern bedeutet Verrat bedeutet Tod.
nichts;Drei identische Knöpfe;Ein grob behauener Eisenkelch mit einem eingemeißelten Koboldgesicht.;trauriges Huhn in einem Käfig;Dreihänder W20 Schaden;Nietenbesetztes Lederwams (-W2 Schaden, Stufe 1);Käfig mit wütender Katze W4 Schaden;;Magierfuß;Roskoes verzehrender Glanz ;Torvul;Zögernd;Zentimeterlange Nägel, ungeschnitten und ungereinigt.;Schnäppchenjäger. Ein Geschäft abzuschließen ist wichtiger als ein Gewinn zu machen.;Du trägst einen unvollendeten Wandteppich des Einen Wahren Glaubens bei dir. Du arbeitest wie besessen daran.
nichts;Kleines Portrait einer unbekannten Person;Ein großes Glasgefäß mit Pflaumen-Apfelwein. Selbst gebraut und säuerlich.;Pfeil im Schild;Streitkolben W6 Schaden;Panzer aus Keramikscheiben, mit blauer dekorativer Verglasung (-W4 Schaden, Stufe 1);Spazierstock W2 Schaden;;Maus der Rache;Ruf der Maden;Hargha;Ängstlich vor Verpflichtungen;Stämmig und robust.;Du tust so, als könntest du lesen. Bisher hat es geklappt.;Du verschlingst Fingernägel. Alles andere schmeckt nach Asche, Fäulnis und Staub.
nichts;Kerze ohne Docht;Ein kleiner Haufen von Steinen. Klein und steinig.;eine Handvoll menschlicher Zähne;Morgenstern W8 Schaden;Perlenbesetzter Federumhang (-W2 Schaden, Stufe 1);Tamburin W2 Schaden;;Melodie;Ruf des Namenlosen;Törn;Aggressiv;Ein nekrotisches Loch im Bein, das im Wind pfeift. ;Du weichst nie vor einem Kampf zurück. Ist das eine Frage der Ehre oder der Torheit?;Eine Urne, die an deinen Rucksack geschnallt ist. Wenn es still ist, klappert etwas darin.
nichts;Leere Flasche mit Korken;Ein kleiner schwarzer Stein, der vollkommen rund ist. Wenn ein lautes Geräusch zu nahe am Stein gemacht wird, explodiert er.;kürzlich geschärfte Sense (W8);Hellebarde W8 Schaden;Riesige Insekten-Chitin-Platten (-W8 Schaden, Stufe 1);Unsichtbare Waffe W2 Schaden;;Mischen;Sanfter Abgang;Harmug;Kurzsichtig;Ein Spinnenbiss hat dein Gesicht zu einem geschwollenen Chaos gemacht.;Mehr als alles andere willst du berühmt werden. Du hast Angst, vergessen zu werden.;Du siehst Visionen von jemandes Zukunft, wenn du sein Haar isst. Du bist völlig kahl.
nichts;Notizbuch, alle Seiten leer;Ein Leichenwurm, der mit jedem Gehirn, das er frisst, schlauer wird.;leere Parfümflasche;Glefe W8 Schaden;Römische Legionärs Rüstung (-W6 Schaden, Stufe 1);;;Nähte reparieren;Schleier des Vergessens;Urm;Stur;Eine Seite deines Gesichts ist stark verbrannt.;Du bastelst kleine Andenken und Erinnerungsstücke aus Dingen, die du findest. Andere nennen sie Schrott, aber für dich sind sie Schätze.;Sie verabscheuen den grauen Himmel. Du kannst nicht schlafen, ohne ein Loch zu graben und dich zu bedecken.
nichts;Notizbuch, alle Seiten vollgeschrieben aber unleserlich;Ein magischer Wassersack. Das Wasser geht nie aus, aber das Leder ist sehr brüchig.;einige Schlüssel ohne Schloss;Kriegssichel W8 Schaden;Rostiges Kettengeflecht (-W4 Schaden, Stufe 1);;;Nicht tun;Schleim des Vergessens;Jotna;Schelmisch;Adern, die sich wölben und pulsieren, als wäre dein Blut Haferschleim.;Du kannst dir keinen Namen merken, wenn es um dein Leben geht. Du kannst dir aber gut Gesichter merken.;Du bist von einem Geist besessen, der von den Schimmernden Feldern plappert. Begehrt von den Basilisken.
;Tote Topfpflanze;Ein Nachttopf. Er ist voll. Da könnte ein Schatz drin sein.;Lederweste mit Nieten;Quarterstaff W6 Schaden;Rüstung aus gewachstem Leinen (-W2 Schaden, Stufe 1);;;Nudeln;Schrei des Hohlen;Urvarg;Grimmig;Eine beeindruckende Menge an Haaren.;Du bist gezwungen, Dinge sauber zu lecken.;Du bist verflucht, dich in Statuen zu verlieben, egal wie grotesk oder seltsam sie sind.
;Spiegel, der nur die linke Hälfte zeigt;Ein reflektierender silberner Schädel. Groß genug, um ihn über dem eigenen Kopf zu tragen.;Geldbeutel mit {W10} Silber;Kriegsdengel W6 Schaden;Rüstung aus Muscheln von Seeungeheuern (-W6 Schaden, Stufe 1);;;Nuscheln;Schwarzes Pathos;Karg;Rituell;Schorfige Hautschuppen, die überall verteilt werden.;Du gähnst ständig.;Du bist davon überzeugt, dass du hörst, wie jemand aus dem Jenseits in abscheulichen Sprüchen zu ihnen spricht.
;Schachfigur (Bauer);Ein schöner Weidenkorb voller menschlicher Herzen.;abgenutzter Gürtel;Kriegsscythe W10 Schaden;Rüstung mit großen gravierten Metallplättchen (-W6 Schaden, Stufe 1);;;Ohrwurm;Schweigen der Wunden;Vagal;Brutal;Ständig tropfende Nase. ;Du schnarchst wie ein träumender Troll. Andere müssen ihre Zähigkeit testen, um zu schlafen.;Du trägst eine sich straffende Krone aus steinernen Dornen. Jeden Tag besteht eine 5 %ige Chance, dass sie so fest wird, dass sie den Schädel zerbricht.
;Löffel, sehr verbogen;Ein schreiendes Horn. Schrei in die eine Seite und dein Schrei kommt auf der anderen heraus.;Sack mit toten Ratten;Wurfmesser W4 Schaden;Samt-Brigandine (-W6 Schaden, Stufe 1);;;Platzen;Segen des Blinden;Karva;Unberechenbar;Fehlender Bauchnabel.;Du isst nur Dinge mit Namen.;Du wirst von einem grün gefärbten Stern über dir am Himmel verfolgt. Jede Nacht wird er größer.
;Ei, ungeklärt ob frisch;Ein sehr effektiver Satz Ohrenschützer. Hält das Geschrei in Schach.;vergoldeter Schädel im Wert von {W20+10} Silber;Wurfaxt W6 Schaden;Samurai-Stil Rüstung (-W6 Schaden, Stufe 1);;;Respekt;Segen des Knochens;Vatan;Naiv;Knollige Wucherung am Hals. Sie bewegt sich, wenn niemand sie ansieht.;Du stiehlst zwanghaft von denen, die weniger haben. Du fürchtest dich vor denen, die mehr haben. ;Du hast eine Reihe von Morden in Galgenbeck begangen, gerechtfertigt oder nicht. Du vergräbst ein Messer in jeder Abenddämmerung.
;Stein mit aufgemaltem Gesicht;Ein seltsamer schwarzer Todespilz, der auf einem Knochen wächst. Wenn er gegessen wird, kann er entweder den Tod oder hilfreiche Visionen verursachen.;Stiefel (passt nicht);Blasrohr W2 Schaden;Schnüre aus geflochtenen Fasern (-W2 Schaden, Stufe 1);;;Rotgut;Siegel der Schwelle;Katla;Vorurteilsbehaftet;Spröde und rissige Lippen.;Du hast das Bedürfnis, auf alle Fehler hinzuweisen, die andere machen. Bis ins Detail.;Dich verzehrt der Hass auf das Feuer. Du trägst drei Wasserhäute. Du weinst beim Anblick von Flammen.
;Gefalteter Brief, bereits geöffnet, auf Fremder Sprache;Ein seltsames Stück Kreide. Wenn du etwas zeichnest, wird es real. Es bleibt sehr wenig übrig.;{W10} Pfeile;Schleuder W4 Schaden;Schuppenpanzer aus Knochen (-W4 Schaden, Stufe 1);;;Ruderboot-Cop;Stimme des Abgrunds;Von;Vulgär;Schmerzhafter Durchschnittsmensch.;Du hast schreckliche Angst vor dem Alleinsein.;Du hörst seltsame und schöne Musik aus Gruben. Du bist gezwungen zu folgen.
;Kleines Schloss ohne Schlüssel;Ein Skelettschlüssel. Hergestellt aus echten Skeletten.;Buch: Die Nachtkönigin;Oberschenkelknochen eines Riesen W8 Schaden;Schwarz gestrichene, kugelsichere Garnisonsrüstung (-W6 Schaden, Stufe 1);;;Scham;Stimme des Verurteilten;Keftar;Schlampig;Gesicht bedeckt mit Eiterbeulen.;Du vertraust nie Dingen mit vier Beinen.;Als du einen schrecklichen Geist gesehen hast, wurden alle deine Haare weiß.
;Schlüssel ohne Schloss;Ein Spielzeugfisch, der einem echten Fisch sehr ähnlich sieht.;ausgestopfte Elster;Angebundener Ziegelstein W4 Schaden;Schwere Schuppenrüstung (-W6 Schaden, Stufe 1);;;Scheinbarer Stuhl;Tierische Sprache ;Vrakh;Impulsiv;Kleinwüchsig.;Du bist davon überzeugt, dass du ein talentierter Sänger bist. Das ist aber nicht der Fall.;Als Kind hast du einen seltsamen Pilz gegessen, der auf einem anderen Pilz wuchs. Du warst nie wieder derselbe.
;Getrocknete Blume, sehr zerbrechlich;Ein Stock mit einem starken Magneten am Ende.;Schlachtermesser (W4);Rostiger Ankerhaken W6 Schaden;SchwereWandteppich-Rüstung (-W4 Schaden, Stufe 1);;;Schlechter Ratschlag;Träne des Heiligen;Klort;Berechnend;Knochen, die bei jeder Bewegung knacken.;Du bist ein schlechter Gewinner und ein noch schlechterer Verlierer. Alles ist ein Wettbewerb.;Als Kind hast du Geister gesehen und mit ihnen gesprochen. Sie sprechen nicht mehr mit dir.
;Wachssiegel eines unbekannten Adligen;Ein Tausendfüßler mit einem lächelnden menschlichen Gesicht.;{W20} Silber;Kirchenglocke W10 Schaden;Seltsame Kraft projizierende goldene Kugeln (-W8 Schaden, Stufe 1);;;Schnupfen;Umarmung des Grabes;Vresi;Pedantisch;Größer als die meisten.;Du bist überzeugt, dass du nicht sterben kannst.;Als Kind wurdest du von Sklavenhändlern gefangen genommen und in den Kampfarenen großgezogen.
;Halbgegessener Keks, steinhart;Ein Teppich, der aus menschlichem Haar gestrickt ist.;Krug mit fermentiertem Fisch;Fleischerbeil W6 Schaden;Synthesehaut-Overall mit leuchtenden Intarsien (-W8 Schaden, Stufe 1);;;Schweigender Pilz;Unerfüllter Wunsch ;Kratar;Leichtgläubig;Gebrochene Nase, für immer krumm.;Du verschluckst zwanghaft Silbermünzen, um sie für das Leben nach dem Tod zu bewahren. Du schepperst, wenn du rennst.;Beim Fällen eines alten Baumes hast du die Leiche eines Zauberers gefunden.
;Leere Medizinflasche, riecht noch;Faden ohne Nadel;Mausefalle (1 Schaden);Schaufel W6 Schaden;Tosei-Gusoku emaillierte Eisenplatten-Rüstung (-W8 Schaden, Stufe 1);;;Sortieren;Verdopplung des Elends;Wemut;Anspruchsvoll;Der Bauch erzählt Geschichten von zu vielen Bieren.;Du kannst mit Pferden sprechen. Das glaubst du zumindest.;Deine Eltern haben dich Fünfzehn genannt. Sie haben sich nie die Mühe gemacht, dir einen richtigen Namen zu geben.
;Würfel dem eine Seite fehlt;Nadel ohne Faden;schwarze und weiße Gesichtsfarbe;Eisenstange W4 Schaden;Uralte Endura-Glassplitter-Schuppen (-W6 Schaden, Stufe 1);;;Spritzen;Wacht des Toten;Aelthar;Weinerlich;Völlig und vollkommen haarlos.;Du bist ein Philosoph. Aber bist du wirklich ein Philosoph?;Du lebst von einem Goldvorrat, den du gefunden hast. Jemand wird bestimmt danach suchen.
;Zertifikat für etwas Nicht-Existentes;Sehr flacher Stein, schön zum Drüberstreicheln;Leinensack mit Körperteilen;Kandare W4 Schaden;Vergoldete Turnierplatte (-W8 Schaden, Stufe 1);;;Steinschlag;Zunge des Wurms;Arvün;Undankbar;Gespaltene Zunge.;Je schrecklicher etwas ist, desto liebenswerter und harmloser erscheint es dir.;Du trägst das Zeichen von Goonfun, dem Retter.
